leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:polk-fl:southern-homes-of-polk-co-inc,polk-fl,SOUTHERN HOMES OF POLK CO INC,8636872700,Holly@mysouthernhome.com,,SOUTHERN HOMES OF POLK CO INC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",68
buyer:polk-fl:tpg-ehc-e-len-multi-state-1-llc,polk-fl,TPG EHC E LEN MULTI STATE 1 LLC,4072344336,alison@permitspermitspermits.com,,TPG EHC E LEN MULTI STATE 1 LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",68
buyer:polk-fl:4c-construction-consulting-corp,polk-fl,4C CONSTRUCTION & CONSULTING CORP.,4074667408,claudio@4cconstructioncorp.com,,4C CONSTRUCTION & CONSULTING CORP.,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:applied-building-development-company-oakhills-inc,polk-fl,APPLIED BUILDING DEVELOPMENT COMPANY - OAKHILLS INC,8634202100,gabby@abddevelopment.com,,APPLIED BUILDING DEVELOPMENT COMPANY - OAKHILLS INC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:bryan-bradley-homes-llc,polk-fl,BRYAN BRADLEY HOMES LLC,8632871864,Bryanbradleyhomes@gmail.com,,BRYAN BRADLEY HOMES LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:brandon-betts-dbr-construction-llc,polk-fl,Brandon Betts DBR Construction LLC,8636024200,dbrconstructionllc@aol.com,,Brandon Betts DBR Construction LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:carolyn-keirnan-keirnan-construction-inc-20251-sw-50-place-southwest-ranches-fl-33332,polk-fl,"Carolyn Keirnan Keirnan Construction, Inc. 20251 SW 50 Place Southwest Ranches, FL, 33332",9546580477,sharonmaurer@polkfl.gov,,"Carolyn Keirnan Keirnan Construction, Inc. 20251 SW 50 Place Southwest Ranches, FL, 33332","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:d-s-hibbert-homes-llc,polk-fl,"D S HIBBERT HOMES, LLC",8635832563,dshibberthomes@gmail.com,,"D S HIBBERT HOMES, LLC","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:duane-mcquillen-construction-inc,polk-fl,DUANE MCQUILLEN CONSTRUCTION INC,8636471200,duane@duanemcquillenconstruction.com,,DUANE MCQUILLEN CONSTRUCTION INC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:eagle-building-contractors-llc,polk-fl,"EAGLE BUILDING CONTRACTORS, LLC",8639650804,dspainebc@aol.com,,"EAGLE BUILDING CONTRACTORS, LLC","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:hodge-enterprises-inc,polk-fl,HODGE ENTERPRISES INC,8633976262,marchantconstructionllc@yahoo.com,,HODGE ENTERPRISES INC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:joe-goldsmith-construction-inc,polk-fl,"JOE GOLDSMITH CONSTRUCTION, INC.",8636986596,permitting@goldsmithconst.com,,"JOE GOLDSMITH CONSTRUCTION, INC.","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:jtc-consulting-services-llc,polk-fl,JTC CONSULTING SERVICES LLC,8133268904,john@jtcconsultingservices.com,,JTC CONSULTING SERVICES LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:jeffery-huebner-stanley-martin-homes-llc-11710-plaza-america-dr-suite-1100-reston-va-20190,polk-fl,"Jeffery Huebner Stanley Martin Homes, LLC 11710 Plaza America Dr. Suite 1100 Reston, VA, 20190",2529133593,orlandpermitting@stanleymartin.com,,"Jeffery Huebner Stanley Martin Homes, LLC 11710 Plaza America Dr. Suite 1100 Reston, VA, 20190","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:lubin-investor-proterty-developer-inc,polk-fl,LUBIN INVESTOR & PROTERTY DEVELOPER INC,4074461226,Gladelbrutus@gmail.com,,LUBIN INVESTOR & PROTERTY DEVELOPER INC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:mb3-construction-llc,polk-fl,MB3 CONSTRUCTION LLC,8635594448,Mb3constructionfl@gmail.com,,MB3 CONSTRUCTION LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:permil-construction-llc,polk-fl,PERMIL CONSTRUCTION LLC,8635943710,miltonpsmith03@gmail.com,,PERMIL CONSTRUCTION LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:pss-constructions-llc,polk-fl,PSS CONSTRUCTIONS LLC,9543052893,pssconstructionsllc@gmail.com,,PSS CONSTRUCTIONS LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
buyer:polk-fl:raysin-construction-inc,polk-fl,"RAYSIN CONSTRUCTION, INC.",8638605405,joshraysin@yahoo.com,,"RAYSIN CONSTRUCTION, INC.","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",62
