rank,buyerId,name,phone,email,website,contactLabel,contactStatus,confidence,lehighCurrentHoldings,countLots30kPlus,avgAcres30kPlus,avgPrice30kPlus,countLots50kPlus,avgAcres50kPlus,avgPrice50kPlus,sourceUrl,nextAction,notes
11,lehigh-buyer-dgi-development-llc,DGI DEVELOPMENT LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,50,22,0.2547,132272.73,15,0.2574,176466.67,https://www.bizapedia.com/fl/dgi-development-llc.html | https://www.bizprofile.net/fl/miami-gardens/dgi-development-llc,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 50. 30k+ lots: 22, avg acres 0.2547, avg price $132272.73. 50k+ lots: 15, avg acres 0.2574, avg price $176466.67. Package caution: possible package-repeat in examples."
12,lehigh-buyer-cardin-sons-group-llc,CARDIN & SONS GROUP LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,9,14,0.2659,124785.71,14,0.2659,124785.71,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 9. 30k+ lots: 14, avg acres 0.2659, avg price $124785.71. 50k+ lots: 14, avg acres 0.2659, avg price $124785.71. Package caution: possible package-repeat in examples."
13,lehigh-buyer-usa-best-development-llc,USA BEST DEVELOPMENT LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,16,17,0.2525,207558.82,11,0.2498,301781.82,https://www.bizprofile.net/fl/hollywood/usa-best-development-llc,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 16. 30k+ lots: 17, avg acres 0.2525, avg price $207558.82. 50k+ lots: 11, avg acres 0.2498, avg price $301781.82. Package caution: possible package-repeat in examples."
14,lehigh-buyer-new-capital-solutions-llc,NEW CAPITAL SOLUTIONS LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,6,13,0.2341,249961.54,11,0.2349,288045.45,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 6. 30k+ lots: 13, avg acres 0.2341, avg price $249961.54. 50k+ lots: 11, avg acres 0.2349, avg price $288045.45. Package caution: possible package-repeat in examples."
15,lehigh-buyer-zamora-investment-group-corp,ZAMORA INVESTMENT GROUP CORP,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,22,16,0.2551,62031.25,10,0.2443,71800.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 22. 30k+ lots: 16, avg acres 0.2551, avg price $62031.25. 50k+ lots: 10, avg acres 0.2443, avg price $71800.0. Package caution: possible package-repeat in examples."
16,lehigh-buyer-malven-llc,MALVEN LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,21,10,0.2337,69400.0,10,0.2337,69400.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 21. 30k+ lots: 10, avg acres 0.2337, avg price $69400.0. 50k+ lots: 10, avg acres 0.2337, avg price $69400.0. Package caution: possible package-repeat in examples."
17,lehigh-buyer-chong-redy,CHONG REDY,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,6,10,0.287,147500.0,10,0.287,147500.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 6. 30k+ lots: 10, avg acres 0.287, avg price $147500.0. 50k+ lots: 10, avg acres 0.287, avg price $147500.0. Package caution: possible package-repeat in examples."
18,lehigh-buyer-cah-swfl-land-holdings-llc,CAH SWFL LAND HOLDINGS LLC,1-855-446-9224,info@christopheralanhomes.com,https://christopheralanhomes.com/,Lehigh repeat vacant-lot buyer,public-contact-found,85,48,16,0.2513,174989.69,9,0.2606,280426.11,https://www.bizapedia.com/fl/cah-swfl-land-holdings-llc.html | https://christopheralanhomes.com/ | https://christopheralanhomes.com/sell-your-land-2/,Call/email public business contact and validate Lehigh Acres vacant-lot buy box.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 48. 30k+ lots: 16, avg acres 0.2513, avg price $174989.69. 50k+ lots: 9, avg acres 0.2606, avg price $280426.11. Package caution: possible package-repeat in examples."
19,lehigh-buyer-lavb-corp,LAVB CORP,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,14,14,0.249,72881.43,9,0.2455,95704.44,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 14. 30k+ lots: 14, avg acres 0.249, avg price $72881.43. 50k+ lots: 9, avg acres 0.2455, avg price $95704.44. Package caution: possible package-repeat in examples."
20,lehigh-buyer-mc02-properties-llc,MC02 PROPERTIES LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,11,13,0.2395,113892.31,9,0.2439,146800.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 11. 30k+ lots: 13, avg acres 0.2395, avg price $113892.31. 50k+ lots: 9, avg acres 0.2439, avg price $146800.0. Package caution: possible package-repeat in examples."
21,lehigh-buyer-florida-sl-llc,FLORIDA SL LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,13,11,0.2693,147163.27,9,0.2653,169866.22,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 13. 30k+ lots: 11, avg acres 0.2693, avg price $147163.27. 50k+ lots: 9, avg acres 0.2653, avg price $169866.22. Package caution: possible package-repeat in examples."
22,lehigh-buyer-royal-southwest-holdings-llc,ROYAL SOUTHWEST HOLDINGS LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,11,11,0.241,189818.18,9,0.2433,225333.33,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 11. 30k+ lots: 11, avg acres 0.241, avg price $189818.18. 50k+ lots: 9, avg acres 0.2433, avg price $225333.33. Package caution: possible package-repeat in examples."
23,lehigh-buyer-aldana-development-llc,ALDANA DEVELOPMENT LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,50,9,0.2582,161100.0,9,0.2582,161100.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 50. 30k+ lots: 9, avg acres 0.2582, avg price $161100.0. 50k+ lots: 9, avg acres 0.2582, avg price $161100.0. Package caution: possible package-repeat in examples."
24,lehigh-buyer-capital-square-investment-llc,CAPITAL SQUARE INVESTMENT LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,11,9,0.25,2000000.0,9,0.25,2000000.0,https://www.bizprofile.net/fl/fort-myers/capital-square-investment-llc | https://www.bizapedia.com/fl/capital-square-investment-llc.html | https://sfranalytics.com/investors/fl/cape-coral-fort-myers-fl/capital-square-investment-llc-fl,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 11. 30k+ lots: 9, avg acres 0.25, avg price $2000000.0. 50k+ lots: 9, avg acres 0.25, avg price $2000000.0. Package caution: possible package-repeat in examples."
25,lehigh-buyer-racah-holdings-llc,RACAH HOLDINGS LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,9,9,0.2338,138500.0,9,0.2338,138500.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 9. 30k+ lots: 9, avg acres 0.2338, avg price $138500.0. 50k+ lots: 9, avg acres 0.2338, avg price $138500.0. Package caution: possible package-repeat in examples."
26,lehigh-buyer-navi-group-llc,NAVI GROUP LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,27,10,0.2525,118180.0,8,0.254,139225.0,https://www.bizprofile.net/fl/doral/navi-group-llc | https://sfranalytics.com/investors/fl/cape-coral-fort-myers-fl/navi-group-llc-fl,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 27. 30k+ lots: 10, avg acres 0.2525, avg price $118180.0. 50k+ lots: 8, avg acres 0.254, avg price $139225.0. Package caution: possible package-repeat in examples."
27,lehigh-buyer-cah-swfl-land-holdings-llc,CAH-SWFL LAND HOLDINGS LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,16,8,0.25,90737.5,8,0.25,90737.5,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 16. 30k+ lots: 8, avg acres 0.25, avg price $90737.5. 50k+ lots: 8, avg acres 0.25, avg price $90737.5. Package caution: possible package-repeat in examples."
28,lehigh-buyer-ahmadi-abdalrahim-m-tr,AHMADI ABDALRAHIM M TR,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,13,8,0.2763,233750.0,8,0.2763,233750.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 13. 30k+ lots: 8, avg acres 0.2763, avg price $233750.0. 50k+ lots: 8, avg acres 0.2763, avg price $233750.0. Package caution: possible package-repeat in examples."
29,lehigh-buyer-inspired-estate-llc,INSPIRED ESTATE LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,8,8,0.244,165000.0,8,0.244,165000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 8. 30k+ lots: 8, avg acres 0.244, avg price $165000.0. 50k+ lots: 8, avg acres 0.244, avg price $165000.0. Package caution: possible package-repeat in examples."
30,lehigh-buyer-stone-mountain-properties-llc,STONE MOUNTAIN PROPERTIES LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,8,8,0.2296,165000.0,8,0.2296,165000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 8. 30k+ lots: 8, avg acres 0.2296, avg price $165000.0. 50k+ lots: 8, avg acres 0.2296, avg price $165000.0. Package caution: possible package-repeat in examples."
31,lehigh-buyer-riolindo1943-llc,RIOLINDO1943 LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,52,9,0.2612,118888.89,7,0.262,141428.57,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 52. 30k+ lots: 9, avg acres 0.2612, avg price $118888.89. 50k+ lots: 7, avg acres 0.262, avg price $141428.57. Package caution: possible package-repeat in examples."
32,lehigh-buyer-lhp-investment-development-l,LHP INVESTMENT & DEVELOPMENT L,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,15,9,0.2413,73777.78,7,0.2332,82857.14,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 15. 30k+ lots: 9, avg acres 0.2413, avg price $73777.78. 50k+ lots: 7, avg acres 0.2332, avg price $82857.14. Package caution: possible package-repeat in examples."
33,lehigh-buyer-futura-houses-llc,FUTURA HOUSES LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,10,8,0.2489,415625.0,7,0.25,470000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 10. 30k+ lots: 8, avg acres 0.2489, avg price $415625.0. 50k+ lots: 7, avg acres 0.25, avg price $470000.0. Package caution: possible package-repeat in examples."
34,lehigh-buyer-santarsieri-vito-emanuele,SANTARSIERI VITO EMANUELE +,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,12,7,0.2383,237500.0,7,0.2383,237500.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 12. 30k+ lots: 7, avg acres 0.2383, avg price $237500.0. 50k+ lots: 7, avg acres 0.2383, avg price $237500.0. Package caution: possible package-repeat in examples."
35,lehigh-buyer-elite-homes-holdings-llc,ELITE HOMES HOLDINGS LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,8,7,0.236,167000.0,7,0.236,167000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 8. 30k+ lots: 7, avg acres 0.236, avg price $167000.0. 50k+ lots: 7, avg acres 0.236, avg price $167000.0. Package caution: possible package-repeat in examples."
36,lehigh-buyer-holiday-builders-inc,HOLIDAY BUILDERS INC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,74,22,0.25,50645.45,6,0.25,87416.67,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 74. 30k+ lots: 22, avg acres 0.25, avg price $50645.45. 50k+ lots: 6, avg acres 0.25, avg price $87416.67. Package caution: possible package-repeat in examples."
37,lehigh-buyer-maram-development-solutions-ll,MARAM DEVELOPMENT SOLUTIONS LL,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,15,16,0.2698,54281.25,6,0.2701,76333.33,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 15. 30k+ lots: 16, avg acres 0.2698, avg price $54281.25. 50k+ lots: 6, avg acres 0.2701, avg price $76333.33. Package caution: possible package-repeat in examples."
38,lehigh-buyer-diamond-imperium-llc,DIAMOND IMPERIUM LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,10,12,0.239,188918.75,6,0.2368,340979.17,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 10. 30k+ lots: 12, avg acres 0.239, avg price $188918.75. 50k+ lots: 6, avg acres 0.2368, avg price $340979.17. Package caution: possible package-repeat in examples."
39,lehigh-buyer-smolkovic-jonathan,SMOLKOVIC JONATHAN,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,21,10,0.2565,76100.0,6,0.2438,101833.33,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 21. 30k+ lots: 10, avg acres 0.2565, avg price $76100.0. 50k+ lots: 6, avg acres 0.2438, avg price $101833.33. Package caution: possible package-repeat in examples."
40,lehigh-buyer-coaston-homes-llc,COASTON HOMES LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,60,8,0.251,167000.0,6,0.25,210333.33,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 60. 30k+ lots: 8, avg acres 0.251, avg price $167000.0. 50k+ lots: 6, avg acres 0.25, avg price $210333.33. Package caution: possible package-repeat in examples."
41,lehigh-buyer-cross-country-developments-llc,CROSS COUNTRY DEVELOPMENTS LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,18,6,0.2561,158916.67,6,0.2561,158916.67,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 18. 30k+ lots: 6, avg acres 0.2561, avg price $158916.67. 50k+ lots: 6, avg acres 0.2561, avg price $158916.67. Package caution: possible package-repeat in examples."
42,lehigh-buyer-bh-malka-florida-investments-l,BH MALKA FLORIDA INVESTMENTS L,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,9,6,0.2344,123000.0,6,0.2344,123000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 9. 30k+ lots: 6, avg acres 0.2344, avg price $123000.0. 50k+ lots: 6, avg acres 0.2344, avg price $123000.0. Package caution: possible package-repeat in examples."
43,lehigh-buyer-ked-new-home-llc,KED NEW HOME LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,8,6,0.2332,68000.0,6,0.2332,68000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 8. 30k+ lots: 6, avg acres 0.2332, avg price $68000.0. 50k+ lots: 6, avg acres 0.2332, avg price $68000.0. Package caution: possible package-repeat in examples."
44,lehigh-buyer-fortivus-partners-inc,FORTIVUS PARTNERS INC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,8,6,0.25,62500.0,6,0.25,62500.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 8. 30k+ lots: 6, avg acres 0.25, avg price $62500.0. 50k+ lots: 6, avg acres 0.25, avg price $62500.0. Package caution: possible package-repeat in examples."
45,lehigh-buyer-morabit-llc,MORABIT LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,7,6,0.25,470000.0,6,0.25,470000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 7. 30k+ lots: 6, avg acres 0.25, avg price $470000.0. 50k+ lots: 6, avg acres 0.25, avg price $470000.0. Package caution: possible package-repeat in examples."
46,lehigh-buyer-plancher-realty-enterprise-llc,PLANCHER REALTY ENTERPRISE LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,5,6,0.2857,65000.0,6,0.2857,65000.0,Lee County Property Appraiser / GeoView source export; local artifact rollup,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 5. 30k+ lots: 6, avg acres 0.2857, avg price $65000.0. 50k+ lots: 6, avg acres 0.2857, avg price $65000.0. Package caution: possible package-repeat in examples."
