generatedAt,county,targetPlaces,sourceType,label,url,use,probeStatus,probeFinalUrl,probeTitle,blocked,probeError
2026-07-25T01:19:38.726489+00:00,Lake,Clermont,clerk-tax-deeds,Lake Clerk Tax Deeds page,https://www.lakecountyclerkfl.gov/departments/records-administrative-services/official-records/tax-deeds/,"Rules, sale info, tax deed links.",200,https://www.lakecountyclerkfl.gov/departments/records-administrative-services/official-records/tax-deeds/,,False,
2026-07-25T01:19:38.726489+00:00,Lake,Clermont,clerk-tax-deed-record-search,Lake Tax Deed Record Search acknowledge page,https://www.lakecountyclerkfl.gov/departments/records-administrative-services/official-records/tax-deeds/tax-deed-record-search/,"Accept disclaimer, search tax deed docs/cases; upload exports/screenshots/PDFs.",200,https://www.lakecountyclerkfl.gov/departments/records-administrative-services/official-records/tax-deeds/tax-deed-record-search/,,False,
2026-07-25T01:19:38.726489+00:00,Lake,Clermont,official-records,Lake Official Records search,https://officialrecords.lakecountyclerk.org/,Recorded tax deeds/grantee extraction.,200,https://officialrecords.lakecountyclerk.org/,Records Search,False,
2026-07-25T01:19:38.726489+00:00,Lake,Clermont,property-appraiser,Lake Property Appraiser search,https://www.lakecopropappr.com/property-search.aspx,"Parcel use, acreage, owner/mailing, land/building value.",200,https://www.lakecopropappr.com/property-disclaimer.aspx?to=%2fproperty-search.aspx?,,False,
2026-07-25T01:19:38.726489+00:00,Lake,Clermont,tax-collector,Lake Tax Collector property tax search,https://laketax.com/property-taxes/,Tax/payoff context after parcel candidate identified.,200,https://laketax.com/property-taxes/,Property Taxes | Lake County Tax Collector,False,
2026-07-25T01:19:38.726489+00:00,Seminole,Longwood,auction-platform,Seminole RealTaxDeed home,https://seminole.realtaxdeed.com/,Try on Mac. Export/print if accessible.,200,https://seminole.realtaxdeed.com/,RealForeclose- Seminole County -Splash Page,False,
2026-07-25T01:19:38.726489+00:00,Seminole,Longwood,auction-calendar,Seminole RealTaxDeed calendar,https://seminole.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR,Manual upcoming sale calendar.,200,https://seminole.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR,,False,
2026-07-25T01:19:38.726489+00:00,Seminole,Longwood,clerk-home,Seminole Clerk home,https://www.seminoleclerk.org/,Navigate to Tax Deeds/Civil/Records if direct deep links stall.,,https://www.seminoleclerk.org/,,True,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)'))"
2026-07-25T01:19:38.726489+00:00,Seminole,Longwood,official-records,Seminole Official Records / DuProcess Web Inquiry,https://recording.seminoleclerk.org/DuProcessWebInquiry/,Recorded tax deed/grantee extraction; search by doc type/party/date/case.,200,https://recording.seminoleclerk.org/DuProcessWebInquiry/index.html,DuProcess® Official Records Online,False,
2026-07-25T01:19:38.726489+00:00,Seminole,Longwood,property-appraiser,Seminole Property Appraiser,https://www.scpafl.org/,"Parcel owner, situs, assessed values, land/improvement split, mailing.",200,https://www.scpafl.org/,,False,
2026-07-25T01:19:38.726489+00:00,Seminole,Longwood,tax-collector,Seminole Tax Collector property taxes,https://seminolecounty.tax/,Tax/payoff context after parcel candidate identified.,,https://seminolecounty.tax/,,True,<HTTPError 403: 'Forbidden'>
