county,priority,sourceType,url,use
"Hernando","8","auction-calendar","https://hernando.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Hernando","8","auction-platform","https://hernando.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Hernando","8","property-appraiser","https://www.hernandopa-fl.us/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Hernando","8","official-records","https://or.hernandoclerk.com/LandmarkWeb/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Pasco","9","clerk-tax-deed-page","https://www.pascoclerk.com/","authority page; sale rules, case links, notices, and manual verification path"
"Pasco","9","auction-calendar","https://pasco.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Pasco","9","auction-platform","https://pasco.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Pasco","9","property-appraiser","https://www.pascopa.com/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Pasco","9","official-records","https://officialrecords.pascoclerk.com/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Hillsborough","10","clerk-tax-deed-page","https://www.hillsclerk.com/","authority page; sale rules, case links, notices, and manual verification path"
"Hillsborough","10","auction-calendar","https://hillsboro.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Hillsborough","10","auction-platform","https://hillsboro.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Hillsborough","10","property-appraiser","https://hcpafl.org/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Hillsborough","10","official-records","https://pubrec10.hillsclerk.com/ORIPublicAccess/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Volusia","11","clerk-tax-deed-page","https://www.clerk.org/","authority page; sale rules, case links, notices, and manual verification path"
"Volusia","11","auction-calendar","https://volusia.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Volusia","11","auction-platform","https://volusia.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Volusia","11","property-appraiser","https://vcpa.vcgov.org/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Volusia","11","official-records","https://app02.clerk.org/or_inq/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
