buyer_current_owner,mailing_city,mailing_state,mailing_zip,lehigh_current_holdings_count,count_lots_30k_plus,avg_acres_30k_plus,median_acres_30k_plus,avg_price_30k_plus,median_price_30k_plus,distinct_folios_30k_plus,distinct_deed_docs_30k_plus,count_lots_50k_plus,avg_acres_50k_plus,median_acres_50k_plus,avg_price_50k_plus,median_price_50k_plus,distinct_folios_50k_plus,distinct_deed_docs_50k_plus,latest_sale_year_found,package_caution,website,phone,email,contact_source_urls,contact_status,contact_notes
DGI DEVELOPMENT LLC,MIAMI GARDENS,FL,33055,50,22,0.2547,0.25,132272.73,99000.0,22,14,15,0.2574,0.25,176466.67,225000.0,15,9,2026,possible package-repeat in examples,,,,https://www.bizapedia.com/fl/dgi-development-llc.html | https://www.bizprofile.net/fl/miami-gardens/dgi-development-llc,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
CARDIN & SONS GROUP LLC,WESTON,FL,33326,9,14,0.2659,0.25,124785.71,116500.0,7,5,14,0.2659,0.25,124785.71,116500.0,7,5,2026,possible package-repeat in examples,,,,,not_enriched,
USA BEST DEVELOPMENT LLC,LEHIGH ACRES,FL,33971,16,17,0.2525,0.25,207558.82,352000.0,12,10,11,0.2498,0.25,301781.82,352000.0,9,7,2025,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/hollywood/usa-best-development-llc,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
NEW CAPITAL SOLUTIONS LLC,CAPE CORAL,FL,33993,6,13,0.2341,0.2296,249961.54,106000.0,6,4,11,0.2349,0.2296,288045.45,106000.0,4,3,2025,possible package-repeat in examples,,,,,not_enriched,
ZAMORA INVESTMENT GROUP CORP,LEHIGH ACRES,FL,33970,22,16,0.2551,0.25,62031.25,67000.0,16,9,10,0.2443,0.25,71800.0,69000.0,10,6,2024,possible package-repeat in examples,,,,,not_enriched,
MALVEN LLC,DORAL,FL,33178,21,10,0.2337,0.2296,69400.0,66000.0,6,2,10,0.2337,0.2296,69400.0,66000.0,6,2,2024,possible package-repeat in examples,,,,,not_enriched,
CHONG REDY,MIAMI,FL,33175,6,10,0.287,0.287,147500.0,147500.0,5,1,10,0.287,0.287,147500.0,147500.0,5,1,2025,possible package-repeat in examples,,,,,not_enriched,
CAH SWFL LAND HOLDINGS LLC,FORT MYERS,FL,33966,48,16,0.2513,0.25,174989.69,56000.0,14,12,9,0.2606,0.25,280426.11,295000.0,8,7,2026,possible package-repeat in examples,https://christopheralanhomes.com/,1-855-446-9224,info@christopheralanhomes.com,https://www.bizapedia.com/fl/cah-swfl-land-holdings-llc.html | https://christopheralanhomes.com/ | https://christopheralanhomes.com/sell-your-land-2/,medium,CAH - SWFL Land Holdings address matches Christopher Alan Homes corporate address; use official land-sale contact page. Contact URL: https://christopheralanhomes.com/sell-your-land-2/
LAVB CORP,HIALEAH,FL,33013,14,14,0.249,0.25,72881.43,54500.0,12,7,9,0.2455,0.25,95704.44,97000.0,9,5,2025,possible package-repeat in examples,,,,,not_enriched,
MC02 PROPERTIES LLC,DORAL,FL,33166,11,13,0.2395,0.2347,113892.31,146800.0,11,5,9,0.2439,0.2457,146800.0,146800.0,9,4,2026,possible package-repeat in examples,,,,,not_enriched,
FLORIDA SL LLC,FORT MYERS,FL,33966,13,11,0.2693,0.2864,147163.27,56000.0,6,5,9,0.2653,0.25,169866.22,123000.0,6,5,2026,possible package-repeat in examples,,,,,not_enriched,
ROYAL SOUTHWEST HOLDINGS LLC,FORT MYERS,FL,33919,11,11,0.241,0.241,189818.18,300000.0,11,10,9,0.2433,0.2445,225333.33,300000.0,9,9,2026,possible package-repeat in examples,,,,,not_enriched,
ALDANA DEVELOPMENT LLC,FORT MYERS,FL,33905,50,9,0.2582,0.25,161100.0,113000.0,5,4,9,0.2582,0.25,161100.0,113000.0,5,4,2026,possible package-repeat in examples,,,,,not_enriched,
CAPITAL SQUARE INVESTMENT LLC,FORT MYERS,FL,33913,11,9,0.25,0.25,2000000.0,2000000.0,9,1,9,0.25,0.25,2000000.0,2000000.0,9,1,2026,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/fort-myers/capital-square-investment-llc | https://www.bizapedia.com/fl/capital-square-investment-llc.html | https://sfranalytics.com/investors/fl/cape-coral-fort-myers-fl/capital-square-investment-llc-fl,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
RACAH HOLDINGS LLC,AVENTURA,FL,33180,9,9,0.2338,0.2303,138500.0,138500.0,9,8,9,0.2338,0.2303,138500.0,138500.0,9,8,2025,possible package-repeat in examples,,,,,not_enriched,
NAVI GROUP LLC,DORAL,FL,33178,27,10,0.2525,0.2452,118180.0,163800.0,10,5,8,0.254,0.2452,139225.0,163800.0,8,4,2025,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/doral/navi-group-llc | https://sfranalytics.com/investors/fl/cape-coral-fort-myers-fl/navi-group-llc-fl,low,No verified public business-facing website/phone/email found; public investor/SOS-derived pages only.
CAH-SWFL LAND HOLDINGS LLC,FORT MYERS,FL,33966,16,8,0.25,0.25,90737.5,88500.0,5,2,8,0.25,0.25,90737.5,88500.0,5,2,2026,possible package-repeat in examples,,,,,not_enriched,
AHMADI ABDALRAHIM M TR,FORT MYERS,FL,33902,13,8,0.2763,0.2567,233750.0,120000.0,8,1,8,0.2763,0.2567,233750.0,120000.0,8,1,2025,possible package-repeat in examples,,,,,not_enriched,
INSPIRED ESTATE LLC,SUNNY ISLES BEACH,FL,33160,8,8,0.244,0.2438,165000.0,165000.0,8,3,8,0.244,0.2438,165000.0,165000.0,8,3,2024,possible package-repeat in examples,,,,,not_enriched,
STONE MOUNTAIN PROPERTIES LLC,MANTUA,UT,84324,8,8,0.2296,0.2296,165000.0,165000.0,8,4,8,0.2296,0.2296,165000.0,165000.0,8,4,2024,possible package-repeat in examples,,,,,not_enriched,
RIOLINDO1943 LLC,FORT LAUDERDALE,FL,33316,52,9,0.2612,0.251,118888.89,85000.0,9,8,7,0.262,0.25,141428.57,85000.0,7,6,2024,possible package-repeat in examples,,,,,not_enriched,
LHP INVESTMENT & DEVELOPMENT L,HIALEAH GARDENS,FL,33018,15,9,0.2413,0.2296,73777.78,60000.0,9,3,7,0.2332,0.2296,82857.14,100000.0,7,2,2024,possible package-repeat in examples,,,,,not_enriched,
FUTURA HOUSES LLC,LEHIGH ACRES,FL,33971,10,8,0.2489,0.25,415625.0,470000.0,8,8,7,0.25,0.25,470000.0,470000.0,7,7,2025,possible package-repeat in examples,,,,,not_enriched,
SANTARSIERI VITO EMANUELE +,BUENOS AIRES,,C1419FSC,12,7,0.2383,0.2301,237500.0,237500.0,7,7,7,0.2383,0.2301,237500.0,237500.0,7,7,2025,possible package-repeat in examples,,,,,not_enriched,
ELITE HOMES HOLDINGS LLC,MIAMI,FL,33175,8,7,0.236,0.2301,167000.0,167000.0,7,5,7,0.236,0.2301,167000.0,167000.0,7,5,2025,possible package-repeat in examples,,,,,not_enriched,
HOLIDAY BUILDERS INC,MELBOURNE,FL,32935,74,22,0.25,0.25,50645.45,40000.0,21,16,6,0.25,0.25,87416.67,54250.0,6,5,2026,possible package-repeat in examples,,,,,not_enriched,
MARAM DEVELOPMENT SOLUTIONS LL,DAVIE,FL,33330,15,16,0.2698,0.2593,54281.25,45000.0,9,7,6,0.2701,0.2593,76333.33,75100.0,6,5,2026,possible package-repeat in examples,,,,,not_enriched,
DIAMOND IMPERIUM LLC,CAPE CORAL,FL,33993,10,12,0.239,0.2371,188918.75,49500.0,7,5,6,0.2368,0.2304,340979.17,254500.0,5,4,2025,possible package-repeat in examples,,,,,not_enriched,
SMOLKOVIC JONATHAN,CAPE CORAL,FL,33914,21,10,0.2565,0.2465,76100.0,85500.0,9,8,6,0.2438,0.243,101833.33,110000.0,5,5,2026,possible package-repeat in examples,,,,,not_enriched,
COASTON HOMES LLC,SARASOTA,FL,34238,60,8,0.251,0.25,167000.0,162500.0,8,8,6,0.25,0.25,210333.33,274500.0,6,6,2026,possible package-repeat in examples,,,,,not_enriched,
CROSS COUNTRY DEVELOPMENTS LLC,DORAL,FL,33166,18,6,0.2561,0.251,158916.67,125750.0,4,4,6,0.2561,0.251,158916.67,125750.0,4,4,2026,possible package-repeat in examples,,,,,not_enriched,
BH MALKA FLORIDA INVESTMENTS L,CAPE CORAL,FL,33914,9,6,0.2344,0.2296,123000.0,123000.0,6,4,6,0.2344,0.2296,123000.0,123000.0,6,4,2025,possible package-repeat in examples,,,,,not_enriched,
KED NEW HOME LLC,ORLANDO,FL,32825,8,6,0.2332,0.2328,68000.0,68000.0,3,1,6,0.2332,0.2328,68000.0,68000.0,3,1,2024,possible package-repeat in examples,,,,,not_enriched,
FORTIVUS PARTNERS INC,SARASOTA,FL,34236,8,6,0.25,0.25,62500.0,62500.0,3,3,6,0.25,0.25,62500.0,62500.0,3,3,2025,possible package-repeat in examples,,,,,not_enriched,
MORABIT LLC,PUNTA GORDA,FL,33982,7,6,0.25,0.25,470000.0,470000.0,6,6,6,0.25,0.25,470000.0,470000.0,6,6,2024,possible package-repeat in examples,,,,,not_enriched,
PLANCHER REALTY ENTERPRISE LLC,FORT MYERS,FL,33912,5,6,0.2857,0.287,65000.0,60000.0,5,5,6,0.2857,0.287,65000.0,60000.0,5,5,2025,possible package-repeat in examples,,,,,not_enriched,
NOA HOME LLC,LEHIGH ACRES,FL,33974,56,13,0.2524,0.2353,52942.31,46000.0,8,5,5,0.2318,0.2296,74200.0,74000.0,4,2,2024,possible package-repeat in examples,,,,,not_enriched,
PARADISE LAND MANAGEMENT GROUP,CAPE CORAL,FL,33993,34,10,0.2602,0.25,74250.0,43250.0,7,5,5,0.2551,0.25,118200.0,63000.0,3,2,2026,possible package-repeat in examples,,,,,not_enriched,
PENTON PROPERTY GROUP LLC,FORT MYERS,FL,33907,14,9,0.2487,0.25,208150.56,120500.0,7,7,5,0.2417,0.2475,343900.0,490000.0,4,4,2026,possible package-repeat in examples,,,,,not_enriched,
GRACOL USA LLC,OCALA,FL,34476,12,8,0.235,0.2306,73062.5,78750.0,6,5,5,0.2342,0.2315,93900.0,104000.0,5,4,2025,possible package-repeat in examples,,,,,not_enriched,
MCBUILDER LLC,LEHIGH ACRES,FL,33971,5,7,0.2831,0.2587,101857.14,66000.0,5,4,5,0.2766,0.2587,128600.0,66000.0,5,4,2026,possible package-repeat in examples,,,,,not_enriched,
GREEN SUN HOMES LLC,LEHIGH ACRES,FL,33936,26,6,0.2477,0.2505,269345.5,290867.5,6,6,5,0.252,0.251,316814.6,291037.0,5,5,2026,possible package-repeat in examples,,,,,not_enriched,
CASARIEGO DEVELOPMENT LLC,KEY LARGO,FL,33037,12,6,0.25,0.25,280333.33,290500.0,4,3,5,0.25,0.25,330400.0,490000.0,3,2,2025,possible package-repeat in examples,,,,,not_enriched,
URBAN 3 INVESTMENT CORP,PEMBROKE PINES,FL,33029,5,6,0.2409,0.2298,80333.33,68000.0,5,2,5,0.2431,0.2298,87400.0,68000.0,5,2,2025,possible package-repeat in examples,,,,,not_enriched,
OWNY HOLDINGS LLC,NAPLES,FL,34109,25,5,0.2347,0.2296,135000.0,135000.0,5,5,5,0.2347,0.2296,135000.0,135000.0,5,5,2024,possible package-repeat in examples,,,,,not_enriched,
BARNHART PROPERTIES LLC +,CAPE CORAL,FL,33991,11,5,0.2926,0.2838,210000.0,210000.0,5,4,5,0.2926,0.2838,210000.0,210000.0,5,4,2026,possible package-repeat in examples,,,,,not_enriched,
MP LOT HOLDINGS LLC,FORT MYERS,FL,33905,7,5,0.25,0.25,62200.0,67000.0,5,3,5,0.25,0.25,62200.0,67000.0,5,3,2026,possible package-repeat in examples,,,,,not_enriched,
401813 INVESTMENT LLC,FORT LAUDERDALE,FL,33316,6,5,0.25,0.25,220000.0,220000.0,5,3,5,0.25,0.25,220000.0,220000.0,5,3,2024,possible package-repeat in examples,,,,,not_enriched,
RICHARD TAILOR & MAGLES LLC,CHEYENNE,WY,82001,5,5,0.233,0.2296,100000.0,100000.0,5,3,5,0.233,0.2296,100000.0,100000.0,5,3,2024,possible package-repeat in examples,,,,,not_enriched,
GC FONSECA CONSTRUCTION INC,NAPLES,FL,34120,5,5,0.287,0.287,375000.0,375000.0,5,2,5,0.287,0.287,375000.0,375000.0,5,2,2025,possible package-repeat in examples,,,,,not_enriched,
ALEMAR INVESTMENT GROUP LLC,PLANTATION,FL,33325,5,5,0.2433,0.2439,99000.0,99000.0,5,3,5,0.2433,0.2439,99000.0,99000.0,5,3,2024,possible package-repeat in examples,,,,,not_enriched,
NEXTGEN ENERGY HOMES LLC,PORT CHARLOTTE,FL,33952,5,5,0.241,0.2296,226601.0,266200.0,5,5,5,0.241,0.2296,226601.0,266200.0,5,5,2024,possible package-repeat in examples,,,,,not_enriched,
W28 PROP LLC,MIAMI BEACH,FL,33139,23,11,0.2315,0.2296,163639.55,39500.0,8,7,4,0.2363,0.2296,389283.75,300000.0,4,4,2026,possible package-repeat in examples,,,,,not_enriched,
FL LAND INVESTMENTS LLC,WESTON,FL,33331,27,8,0.2346,0.2296,52875.0,53250.0,8,4,4,0.2296,0.2296,65000.0,65000.0,4,1,2025,possible package-repeat in examples,,,,,not_enriched,
QHC DEVELOPMENTS LLC,TAYLORSVILLE,KY,40071,10,6,0.25,0.25,70000.0,60000.0,4,2,4,0.25,0.25,85000.0,85000.0,2,1,2024,possible package-repeat in examples,,,,,not_enriched,
LEHIGH DEVELOPERS LLC,LAKEWOOD,NJ,08701,9,6,0.2389,0.2296,58333.33,60000.0,5,5,4,0.233,0.2296,66500.0,60000.0,3,3,2025,possible package-repeat in examples,,,,,not_enriched,
BBPL I LLC,NAPLES,FL,34109,7,5,0.2845,0.2846,69600.0,50000.0,5,5,4,0.2839,0.2842,75000.0,75000.0,4,4,2026,possible package-repeat in examples,,,,,not_enriched,
CHOUTE BERTRAND,LEHIGH ACRES,FL,33971,39,4,0.2975,0.2904,67250.0,53500.0,4,4,4,0.2975,0.2904,67250.0,53500.0,4,4,2025,,,,,,not_enriched,
ABENI LLC,LAS VEGAS,NV,89109,13,4,0.236,0.2296,53500.0,53500.0,4,2,4,0.236,0.2296,53500.0,53500.0,4,2,2024,possible package-repeat in examples,,,,,not_enriched,
SINGLE LAND LLC,COCONUT CREEK,FL,33073,6,4,0.2421,0.2296,57218.0,57218.0,4,4,4,0.2421,0.2296,57218.0,57218.0,4,4,2024,possible package-repeat in examples,,,,,not_enriched,
SOLID GROUND BUILDERS CORP,MIAMI,FL,33165,6,4,0.2296,0.2296,80000.0,80000.0,4,1,4,0.2296,0.2296,80000.0,80000.0,4,1,2024,possible package-repeat in examples,,,,,not_enriched,
ALIMENTOS DEL SUR LLC,AVENTURA,FL,33180,6,4,0.2813,0.2835,165000.0,165000.0,4,4,4,0.2813,0.2835,165000.0,165000.0,4,4,2026,possible package-repeat in examples,,,,,not_enriched,
GULF COAST LAND SOLUTIONS LLC,KISSIMMEE,FL,34747,6,4,0.25,0.2488,58348.0,58348.0,4,4,4,0.25,0.2488,58348.0,58348.0,4,4,2024,possible package-repeat in examples,,,,,not_enriched,
LEGIGH INVESTMENTS LLC,PEMBROKE PINES,FL,33029,5,4,0.317,0.317,64500.0,64500.0,2,1,4,0.317,0.317,64500.0,64500.0,2,1,2026,,,,,,not_enriched,
CA TANO CONSTRUCTION & APPLIAN,CAPE CORAL,FL,33914,5,4,0.25,0.25,56000.0,56000.0,4,1,4,0.25,0.25,56000.0,56000.0,4,1,2026,possible package-repeat in examples,,,,,not_enriched,
FUNDVATE 26 LLC,CORAL GABLES,FL,33134,5,4,0.2472,0.25,313750.0,300000.0,4,4,4,0.2472,0.25,313750.0,300000.0,4,4,2024,,,,,,not_enriched,
CRC DEVELOPMENTS LLC,SAINT PETERSBURG,FL,33702,8,8,0.2784,0.2578,64687.5,43000.0,5,2,3,0.2667,0.2296,106666.67,60000.0,3,1,2025,possible package-repeat in examples,,,,,not_enriched,
1816 YOAKUM DEVELOPMENT LLC,MIAMI,FL,33131,8,6,0.2592,0.2582,52083.33,52750.0,6,3,3,0.2575,0.2439,61500.0,61500.0,3,1,2024,possible package-repeat in examples,,,,,not_enriched,
ADAMS HOMES OF NORTHWEST FLORI,PENSACOLA,FL,32502,16,5,0.2285,0.2296,49600.0,60000.0,5,3,3,0.2279,0.2296,60000.0,60000.0,3,2,2026,possible package-repeat in examples,,,,,not_enriched,
AA INVESTMENT COMPANY LLC,MIAMI,FL,33165,13,5,0.2615,0.25,81722.8,95602.0,5,5,3,0.25,0.25,108871.33,109602.0,3,3,2026,,,,,,not_enriched,
GRETCHEN AVE LLC,BOCA RATON,FL,33498,6,5,0.2569,0.25,136400.0,97000.0,4,3,3,0.2661,0.25,203333.33,113000.0,2,2,2026,possible package-repeat in examples,,,,,not_enriched,
VML PROPERTY SERVICES LLC,LEHIGH ACRES,FL,33970,5,5,0.287,0.287,51883.8,53000.0,3,3,3,0.287,0.287,60500.0,63500.0,2,2,2025,possible package-repeat in examples,,,,,not_enriched,
SOUTHERN IMPRESSION HOMES LLC,JACKSONVILLE,FL,32256,28,4,0.2663,0.2663,241750.0,63500.0,3,2,3,0.2776,0.3001,309000.0,67000.0,3,2,2024,possible package-repeat in examples,,,,,not_enriched,
UNITED INTEGRAL SOLUTIONS LLC,LEHIGH ACRES,FL,33936,5,4,0.2296,0.2296,75000.0,90000.0,4,1,3,0.2296,0.2296,90000.0,90000.0,3,1,2025,possible package-repeat in examples,,,,,not_enriched,
IN STYLE BUILDERS LLC,MIAMI GARDENS,FL,33169,23,3,0.241,0.241,56700.0,56700.0,3,1,3,0.241,0.241,56700.0,56700.0,3,1,2024,possible package-repeat in examples,,,,,not_enriched,
GALOS INVESTMENTS LLC,DORAL,FL,33122,10,3,0.2713,0.2416,83416.67,50000.0,3,2,3,0.2713,0.2416,83416.67,50000.0,3,2,2025,possible package-repeat in examples,,,,,not_enriched,
JEDN HOLDING LLC,CAPE CORAL,FL,33909,8,3,0.2296,0.2296,79000.0,61500.0,3,2,3,0.2296,0.2296,79000.0,61500.0,3,2,2025,possible package-repeat in examples,,,,,not_enriched,
GATOR INVESTMENT OF SW FLA INC,NAPLES,FL,34120,6,3,0.25,0.25,75000.0,75000.0,3,2,3,0.25,0.25,75000.0,75000.0,3,2,2024,possible package-repeat in examples,,,,,not_enriched,
SINGH DALIP,FORT MYERS,FL,33913,5,3,0.2721,0.2501,197500.0,197500.0,3,3,3,0.2721,0.2501,197500.0,197500.0,3,3,2025,possible package-repeat in examples,,,,,not_enriched,
3K FINANCIAL GROUP LLC,MIAMI,FL,33182,5,3,0.25,0.25,60000.0,60000.0,3,1,3,0.25,0.25,60000.0,60000.0,3,1,2025,possible package-repeat in examples,,,,,not_enriched,
I7 HOMES LLC,LEHIGH ACRES,FL,33971,5,3,0.25,0.25,57300.0,57300.0,3,3,3,0.25,0.25,57300.0,57300.0,3,3,2024,possible package-repeat in examples,,,,,not_enriched,
GOLDEN HOMES CUSTOM BUILDERS I,LEHIGH ACRES,FL,33936,5,3,0.2781,0.25,165000.0,50000.0,3,3,3,0.2781,0.25,165000.0,50000.0,3,3,2026,possible package-repeat in examples,,,,,not_enriched,
DAT TRAM LLC,ORLANDO,FL,32832,7,6,0.2391,0.2296,64833.33,47000.0,3,2,2,0.2249,0.2249,116500.0,116500.0,1,1,2026,possible package-repeat in examples,,,,,not_enriched,
LEE COUNTY ELECTRIC CO-OP INC,NORTH FORT MYERS,FL,33918,17,5,0.2427,0.2353,47100.0,38000.0,4,1,2,0.2353,0.2353,66000.0,66000.0,2,1,2025,possible package-repeat in examples,,,,,not_enriched,
EDS FAMILY HOLDING LLC,MIAMI,FL,33165,9,5,0.2287,0.2285,90160.0,44000.0,3,2,2,0.2285,0.2285,165000.0,165000.0,2,1,2024,possible package-repeat in examples,,,,,not_enriched,
DJRT INVESTMENTS LLC,SHERIDAN,WY,82801,8,5,0.2943,0.287,49550.0,45000.0,4,4,2,0.287,0.287,58375.0,58375.0,1,1,2024,possible package-repeat in examples,,,,,not_enriched,
CHAGANI FEROZ A,PORT SAINT LUCIE,FL,34953,52,4,0.2296,0.2296,115500.0,115500.0,2,1,2,0.2296,0.2296,200000.0,200000.0,2,1,2025,possible package-repeat in examples,,,,,not_enriched,
DIAZ PARKING COMPANY LLC,LEHIGH ACRES,FL,33974,7,4,0.2367,0.2367,89750.0,89750.0,2,1,2,0.2367,0.2367,137500.0,137500.0,2,1,2025,possible package-repeat in examples,,,,,not_enriched,
NAJMI REALTY LLC,BROOKLYN,NY,11222,6,4,0.245,0.246,44375.0,44375.0,4,3,2,0.2401,0.2401,54000.0,54000.0,2,2,2026,,,,,,not_enriched,
J&E INVESTINGS INC,CORAL SPRINGS,FL,33071,5,4,0.2398,0.2398,46500.0,46500.0,4,3,2,0.2501,0.2501,56000.0,56000.0,2,1,2025,,,,,,not_enriched,
SUBHADRA RAMNATH LLC,LEHIGH ACRES,FL,33936,18,3,0.2841,0.301,49166.67,57000.0,3,2,2,0.3012,0.3012,57000.0,57000.0,2,1,2024,possible package-repeat in examples,,,,,not_enriched,
LAND BUILD MANAGEMENT LLC,FORT MYERS,FL,33913,9,3,0.25,0.25,65333.33,65000.0,2,2,2,0.25,0.25,82500.0,82500.0,2,2,2026,possible package-repeat in examples,,,,,not_enriched,
P&C MANAGEMENT 1937 INC,LEHIGH ACRES,FL,33970,7,3,0.2871,0.287,51666.67,50000.0,3,3,2,0.2872,0.2872,53500.0,53500.0,2,2,2025,possible package-repeat in examples,,,,,not_enriched,
ECO SOLAR COMPANY LLC,GOTHA,FL,34734,46,2,0.2518,0.2518,66500.0,66500.0,2,2,2,0.2518,0.2518,66500.0,66500.0,2,2,2025,possible package-repeat in examples,,,,,not_enriched,
NOVA INVESTMENT GROUP LLC,FORT MYERS,FL,33966,16,2,0.2324,0.2324,67800.0,67800.0,2,2,2,0.2324,0.2324,67800.0,67800.0,2,2,2025,,,,,,not_enriched,
BRICKS DEVELOPMENTS LLC,MIAMI,FL,33180,9,2,0.2296,0.2296,335000.0,335000.0,2,1,2,0.2296,0.2296,335000.0,335000.0,2,1,2026,possible package-repeat in examples,,,,,not_enriched,
ROYAL SF INVESTMENTS LLC,MIAMI LAKES,FL,33018,7,2,0.2685,0.2685,59000.0,59000.0,2,2,2,0.2685,0.2685,59000.0,59000.0,2,2,2024,,,,,,not_enriched,
YOUR FAMILY HOME BUILDERS LLC,FORT MYERS,FL,33901,7,2,0.297,0.297,155000.0,155000.0,2,2,2,0.297,0.297,155000.0,155000.0,2,2,2025,,,,,,not_enriched,
VALDES DELSY B TR,MIAMI,FL,33178,5,2,0.2501,0.2501,98500.0,98500.0,2,1,2,0.2501,0.2501,98500.0,98500.0,2,1,2026,,,,,,not_enriched,
